RxNorm,ATC
1306937,C05AX04
1307604,C05AX04
1307638,C05AX04
1307665,C05AX04
1307749,C05AX04
1307755,C05AX04
1307840,C05AX04
1307887,C05AX04
1309247,C05AX04
1309250,C05AX04
1309287,C05AX04
1309332,C05AX04
1309350,C05AX04
1309376,C05AX04
1309398,C05AX04
1309673,C05AX04
1309690,C05AX04
1309694,C05AX04
1309833,C05AX04
1309950,C05AX04
1309954,C05AX04
1309960,C05AX04
1310035,C05AX04
1310049,C05AX04
1310140,C05AX04
1310161,C05AX04
1310220,C05AX04
1310280,C05AX04
1310300,C05AX04
1310566,C05AX04
1310571,C05AX04
1310913,C05AX04
1311039,C05AX04
1311056,C05AX04
1311077,C05AX04
1311079,C05AX04
1311131,C05AX04
1311144,C05AX04
1311148,C05AX04
1311152,C05AX04
1311188,C05AX04
1311275,C05AX04
1311281,C05AX04
1311391,C05AX04
1311407,C05AX04
1311476,C05AX04
1311477,C05AX04
1311497,C05AX04
1311541,C05AX04
1311606,C05AX04
1311629,C05AX04
1311811,C05AX04
1313750,C05AX04
1314232,C05AX04
1314583,C05AX04
1314595,C05AX04
1314854,C05AX04
1324597,C05AX04
1328307,C05AX04
1330089,C05AX04
1334930,C05AX04
13369,C05AX04
1340183,C05AX04
1345678,C05AX04
1348449,C05AX04
1351787,C05AX04
1352501,C05AX04
1356,C05AX04
1356320,C05AX04
1356321,C05AX04
1356322,C05AX04
1356323,C05AX04
1356324,C05AX04
1356325,C05AX04
1356328,C05AX04
1356330,C05AX04
1358002,C05AX04
1358845,C05AX04
1358988,C05AX04
1359,C05AX04
1359264,C05AX04
1361199,C05AX04
1361200,C05AX04
1361201,C05AX04
1361204,C05AX04
1362150,C05AX04
1362151,C05AX04
1362740,C05AX04
1362875,C05AX04
1362889,C05AX04
1362892,C05AX04
1362893,C05AX04
1362931,C05AX04
1363569,C05AX04
1363706,C05AX04
1363709,C05AX04
1363710,C05AX04
1363711,C05AX04
1363713,C05AX04
1364053,C05AX04
1364292,C05AX04
1367119,C05AX04
1368170,C05AX04
1368202,C05AX04
1368327,C05AX04
1368650,C05AX04
1368862,C05AX04
1368875,C05AX04
1368884,C05AX04
1368903,C05AX04
1370453,C05AX04
1370454,C05AX04
1371299,C05AX04
13714,C05AX04
1371997,C05AX04
1372563,C05AX04
1372919,C05AX04
1372921,C05AX04
1372922,C05AX04
1372924,C05AX04
1373041,C05AX04
1373110,C05AX04
1373111,C05AX04
1373113,C05AX04
1373115,C05AX04
1373245,C05AX04
1373247,C05AX04
1373249,C05AX04
1373251,C05AX04
1373252,C05AX04
1373254,C05AX04
1373378,C05AX04
1373379,C05AX04
1375,C05AX04
1376085,C05AX04
1376086,C05AX04
1390,C05AX04
1399,C05AX04
1406,C05AX04
142015,C05AX04
142019,C05AX04
1421549,C05AX04
1421550,C05AX04
1421552,C05AX04
1422485,C05AX04
1422929,C05AX04
1423409,C05AX04
1423410,C05AX04
1423412,C05AX04
1423413,C05AX04
1423415,C05AX04
1423974,C05AX04
1424549,C05AX04
1424550,C05AX04
1425089,C05AX04
1425313,C05AX04
1425314,C05AX04
1425412,C05AX04
1425910,C05AX04
1425911,C05AX04
1425912,C05AX04
1426,C05AX04
1426773,C05AX04
1426884,C05AX04
1426943,C05AX04
1427056,C05AX04
1427136,C05AX04
1427173,C05AX04
1427189,C05AX04
1427410,C05AX04
1427953,C05AX04
1427954,C05AX04
1427956,C05AX04
1427957,C05AX04
1427959,C05AX04
1431227,C05AX04
1432509,C05AX04
1432511,C05AX04
1432512,C05AX04
1432514,C05AX04
1435638,C05AX04
1438774,C05AX04
1438775,C05AX04
1438776,C05AX04
1438777,C05AX04
1440015,C05AX04
1440278,C05AX04
1440974,C05AX04
1441177,C05AX04
1441179,C05AX04
1441181,C05AX04
1441182,C05AX04
1441184,C05AX04
1441315,C05AX04
1441316,C05AX04
1441318,C05AX04
1441400,C05AX04
1442511,C05AX04
1442849,C05AX04
1442851,C05AX04
1442852,C05AX04
1442854,C05AX04
1443000,C05AX04
1484856,C05AX04
1485066,C05AX04
1485798,C05AX04
1486030,C05AX04
1486031,C05AX04
1487162,C05AX04
1488819,C05AX04
1489296,C05AX04
1489297,C05AX04
1489299,C05AX04
1491553,C05AX04
1491554,C05AX04
1492182,C05AX04
1492395,C05AX04
1492396,C05AX04
1492397,C05AX04
1492398,C05AX04
1492400,C05AX04
1492401,C05AX04
1492403,C05AX04
1493689,C05AX04
1493690,C05AX04
1493691,C05AX04
1494083,C05AX04
1494085,C05AX04
1494086,C05AX04
1494088,C05AX04
1494200,C05AX04
1494201,C05AX04
1494203,C05AX04
1494204,C05AX04
1494205,C05AX04
1494206,C05AX04
1494207,C05AX04
1494213,C05AX04
1494214,C05AX04
1495082,C05AX04
1495479,C05AX04
1495480,C05AX04
1514,C05AX04
1534849,C05AX04
1534850,C05AX04
1535492,C05AX04
1536203,C05AX04
1536204,C05AX04
1536206,C05AX04
1536207,C05AX04
1536209,C05AX04
1536210,C05AX04
1536212,C05AX04
1537760,C05AX04
1537761,C05AX04
153970,C05AX04
1540358,C05AX04
1540359,C05AX04
1540827,C05AX04
1541229,C05AX04
1541238,C05AX04
1541730,C05AX04
1543704,C05AX04
1543706,C05AX04
1543707,C05AX04
1543709,C05AX04
1544247,C05AX04
1545038,C05AX04
1545143,C05AX04
1545144,C05AX04
1545675,C05AX04
1545676,C05AX04
1545678,C05AX04
1545790,C05AX04
1546589,C05AX04
1547568,C05AX04
1549107,C05AX04
1549306,C05AX04
1549308,C05AX04
1549353,C05AX04
1549354,C05AX04
1549356,C05AX04
1549714,C05AX04
1549715,C05AX04
1549717,C05AX04
1549849,C05AX04
1550949,C05AX04
1550950,C05AX04
1550952,C05AX04
15850,C05AX04
1591981,C05AX04
1591982,C05AX04
1592653,C05AX04
1592654,C05AX04
1593854,C05AX04
1595580,C05AX04
1599,C05AX04
1599157,C05AX04
1599640,C05AX04
1599808,C05AX04
1599809,C05AX04
1607215,C05AX04
1649557,C05AX04
1658664,C05AX04
1661187,C05AX04
1661188,C05AX04
1663730,C05AX04
1663731,C05AX04
1663733,C05AX04
1664661,C05AX04
1700,C05AX04
1722235,C05AX04
1722236,C05AX04
1727721,C05AX04
1727722,C05AX04
1733707,C05AX04
1733852,C05AX04
1733853,C05AX04
1734936,C05AX04
1734937,C05AX04
1734939,C05AX04
1734940,C05AX04
1734942,C05AX04
1735042,C05AX04
1737551,C05AX04
1737552,C05AX04
1737554,C05AX04
1738598,C05AX04
1739865,C05AX04
1739866,C05AX04
1747717,C05AX04
17609,C05AX04
17610,C05AX04
1792498,C05AX04
1792499,C05AX04
1792709,C05AX04
1792711,C05AX04
1792713,C05AX04
1793753,C05AX04
1793914,C05AX04
1793915,C05AX04
1797057,C05AX04
1797059,C05AX04
1798476,C05AX04
1798477,C05AX04
1798479,C05AX04
1798481,C05AX04
1798540,C05AX04
1804184,C05AX04
1804185,C05AX04
1809833,C05AX04
1809834,C05AX04
1811016,C05AX04
18235,C05AX04
1855197,C05AX04
1855198,C05AX04
1857906,C05AX04
1860083,C05AX04
1862734,C05AX04
1865205,C05AX04
1865206,C05AX04
1874887,C05AX04
1874888,C05AX04
1895,C05AX04
19044,C05AX04
19075,C05AX04
1910,C05AX04
1921771,C05AX04
1921772,C05AX04
1925201,C05AX04
1926460,C05AX04
1928602,C05AX04
1942345,C05AX04
1942346,C05AX04
1943336,C05AX04
1943337,C05AX04
1943339,C05AX04
1944943,C05AX04
1944945,C05AX04
1945075,C05AX04
1945076,C05AX04
19461,C05AX04
1946471,C05AX04
