RxNorm,UMLS
1012898,C0021081
1012899,C0021081
1189258,C3653767
2108832,C0030842
1189257,C3653767
378213,C3653755
378214,C3654044
1193404,C3653798
2057715,C0002092
2057714,C0002092
2057717,C0002092
2057716,C0002092
2057719,C0002092
2099129,C3540787
1796412,C3653754
206997,C3653774
373539,C3653287
373534,C0304475
1796419,C0003376
1870316,C3540716
1870311,C3540716
373533,C0304475
1870312,C3540716
1593742,C3653336
1537106,C3653872
1537107,C3653872
1593744,C3653336
1593749,C3653933
317869,C3653933
317865,C0003138
370442,C3653715
1724885,C0002934
1724884,C0002934
1724881,C0002934
1724880,C0002934
287516,C3653914
287515,C3654018
854964,C0004632
854966,C0004632
854960,C0004632
854962,C0004632
854968,C0004632
366692,C3653728
366691,C3653336
366697,C3542964
1301670,C3653749
2375044,C3653942
2375047,C3653942
1309449,C0002092
2375042,C3653942
1309446,C0002092
1309447,C0002092
1309443,C3653756
1874126,C3653387
1874124,C3653387
1874123,C3653387
379582,C3653706
904458,C3653773
904459,C3653773
828716,C0002772
904457,C3653649
828712,C0002772
236665,C3653756
1995291,C0002934
1100447,C0003299
855610,C3653501
855613,C3653501
855612,C3653501
892625,C0002772
205217,C3653942
602127,C3653337
236660,C3542465
404125,C3653731
10355,C3653700
404127,C3653731
1987643,C3653731
1987646,C3653731
1987647,C3653798
1987644,C3653731
1987645,C3653731
328708,C0040615
1246064,C3653319
1246065,C3653319
1246066,C3653319
328702,C0040615
1246069,C3653798
328700,C0001645
1087256,C3653319
1087257,C3653319
328704,C0040615
1087255,C3653319
236206,C3653756
749550,C3653533
584162,C3653843
236209,C3653766
334688,C3537250
1657343,C0021027
1657342,C0021027
1657341,C0021027
1657340,C0021027
1043702,C3540716
1043703,C3540716
1233664,C3653336
1233662,C3653763
1233661,C3653763
1112894,C3653749
2380357,C3653761
1606859,C3653833
1606850,C3653287
1716084,C0002772
1716086,C0002772
1716087,C0002772
1716080,C0002772
1716081,C0002772
1086709,C3653622
1086707,C3653622
1086706,C3653622
1117116,C3653942
728231,C3539173
597921,C3653553
1491720,C3653798
1491722,C3653798
491056,C0003289
61805,C3542964
863638,C3653764
863630,C3653764
863636,C3653764
863637,C3653764
863635,C3653764
353487,C3653579
2178390,C3539171
1042820,C3653741
2178395,C3539171
2178394,C3539171
2178396,C3539171
2178399,C3539171
2178398,C3539171
1042829,C3653285
1803894,C3653824
1803895,C3653824
1803896,C3653824
1803892,C3653824
1803893,C3653824
1855732,C3653756
1855730,C3653756
1855731,C3653756
1855736,C3539171
1855735,C3539171
1855738,C3539171
1855739,C3539171
1043191,C3653741
284430,C3653942
849760,C1704311
992816,C3653813
2170229,C3653872
245667,C3653942
245663,C3653798
540281,C3653773
245660,C3653798
370609,C3540784
1865292,C3653798
1865295,C3653589
581338,C3653840
581337,C3653840
311078,C0001551
7773,C3653676
7779,C0002845
7778,C3540730
1544248,C3540018
438214,C3653914
1943550,C3653774
1943551,C3653774
206766,C3653768
206765,C3653768
206764,C3653768
282486,C1563714
833709,C0002772
282485,C0040615
833707,C3653552
991051,C3653525
833705,C3653552
833704,C3653552
576622,C0001551
2043695,C3653749
2043690,C3653749
2043693,C3653749
2257296,C3539171
2257297,C3539171
312793,C3653942
2257298,C3539171
580214,C3653813
331549,C0021081
1926571,C3540732
2105189,C3539173
370600,C3653337
2000006,C0001551
2105180,C3539173
1602011,C3653798
2105182,C3539173
2105187,C3539173
199106,C0003391
199108,C3653559
1301881,C3540784
1301882,C3540784
199099,C3653798
11476,C3653595
335251,C3653730
11473,C3653595
201239,C0003299
801355,C3654018
801357,C3654018
801356,C3654018
884189,C3653730
884188,C3653717
211245,C3653533
884187,C3653730
884186,C3653730
884185,C3653730
884184,C3653717
315217,C3653501
251267,C3653813
1549223,C3653798
2044731,C0013036
332130,C3540716
850091,C0003299
477381,C3539173
1544247,C3653798
1310168,C3653756
572620,C3653752
1310164,C3653813
1310161,C3653798
572625,C3653715
1538130,C3653707
2108437,C0017302
2108435,C1704311
2108433,C1704311
2108439,C0017302
1539426,C3653756
800003,C3654018
800001,C3654018
373993,C0018100
752331,C3653756
752338,C3653285
1101769,C3653389
1101768,C3653389
644088,C3653765
644087,C3653765
335480,C3653781
731119,C0020656
335485,C3653914
2265862,C3653848
895263,C3653285
370847,C3653659
209443,C3540784
107030,C3653720
1304108,C3653848
1994541,C3653756
1994540,C3653756
1994542,C3653756
2173497,C0020592
2173496,C0020592
2173494,C0020592
2173493,C0020592
2173490,C0020592
1039199,C3653284
1747556,C3539171
1747557,C3539171
199924,C3653801
199928,C0030842
199929,C0013036
1099309,C3653285
1099308,C3653285
1099306,C0003289
1099305,C0003289
1099304,C0003289
1099303,C0003289
1099302,C0003289
1099301,C0003289
1099300,C0003289
852659,C0002092
859383,C3653660
852653,C3654018
1292465,C3653622
1292464,C3653622
1292467,C3653622
114176,C3653700
35623,C3653848
1292468,C3653622
340326,C3653579
340327,C3653579
797451,C3653731
32937,C0003289
340320,C3653579
198058,C0040616
1944699,C3539171
978741,C1704311
978740,C1704311
308391,C3653337
978745,C1704311
978744,C1704311
308395,C3653337
978746,C1704311
897640,C3653552
308399,C3653337
995033,C3653285
372172,C3653565
1804047,C3653285
332916,C3653756
372177,C3540023
372175,C3540023
369154,C3653764
25696,C3653336
2387331,C3653800
2387337,C3539171
1484927,C0355614
2387335,C3539171
900764,C0002092
1860100,C3540023
199,C3653737
1808219,C0017302
195,C3653767
194,C3653720
197,C3654018
193,C3653564
631940,C3653840
1101055,C1744619
1356080,C3540784
1811769,C3653914
602454,C0020592
984120,C3542964
809974,C0003299
1811763,C3540745
39841,C3653780
857187,C3653768
857186,C3653768
857183,C3653768
857189,C3653768
857188,C3653768
756008,C3653840
669266,C3653780
1368398,C3653824
1368395,C3653824
1436368,C3653753
1368392,C3653824
1552172,C3653756
670106,C3653763
37416,C3653700
37418,C3653694
1433251,C0002772
3455,C3653798
2383306,C3539171
2383307,C3539171
2383305,C3539171
2383303,C3653756
374870,C3653759
317537,C3653319
317534,C3653319
1310039,C3653756
317538,C3653501
1310037,C0002092
1310035,C3653756
611,C3653798
2171258,C3653284
238154,C3540784
238151,C3653531
