RxNorm,UMLS
606658,C1658364
1535218,C1609931
218093,C0721441
218090,C0721438
1797649,C4257307
1442524,C3692736
374754,C1248844
1797647,C4257241
1797646,C3851672
1160024,C3214399
1160027,C3214402
1160029,C3214404
1657443,C4034116
314285,C0981800
314286,C0981801
702464,C1879232
1536549,C3817707
1536548,C3819853
374755,C1248845
1602745,C3883648
1536545,C3819062
1536544,C3820051
1536547,C3819699
1536546,C3819330
859750,C2719261
859751,C1319663
859752,C2719262
859753,C1329651
859759,C2719265
1602746,C3883647
603978,C1631126
2201519,C5210151
1190052,C3244977
1190051,C3244976
603977,C1633690
603976,C1633689
366173,C1240140
1370655,C3535838
366176,C1240143
1872987,C4317674
1370657,C3535836
231049,C0759933
1370656,C3535837
247463,C0788550
2202921,C5210165
583468,C1613025
1370650,C3535843
903440,C2746678
903442,C0707932
826661,C2369784
1872980,C4317113
1175799,C3229777
1175798,C3229776
1300468,C1658082
1179246,C3233129
1294034,C0789207
1294036,C0704459
1796393,C4257207
1300465,C3474206
1300464,C2746171
1872478,C4317579
1294033,C0693619
1153870,C3208344
1747571,C4225058
107287,C0359569
852845,C2701826
852844,C2701825
852847,C2701828
852846,C2701827
852841,C2701823
1296899,C3467492
852842,C2701824
1296894,C3467487
1296895,C3467488
313773,C0981180
1296890,C3265677
313774,C0981181
313777,C0981185
313776,C0981184
1812441,C4291512
1812440,C4291513
2371762,C5384550
1988409,C4530541
2101008,C4723999
1988405,C4530537
1988404,C4530536
2101007,C4724000
2101006,C4734437
2104384,C4740854
1802481,C4276023
1116949,C3194688
1802483,C4083103
1173308,C3227349
1173304,C3227345
1173307,C3227348
1173301,C3227342
1173303,C3227344
2200649,C5207827
1117097,C2725181
1117094,C3194736
1117095,C3194737
1117090,C3194732
2371768,C5241283
2200641,C5207912
2200640,C5207869
2200643,C5207894
2200642,C5207913
2200645,C5207658
2200644,C5207671
2200647,C5207804
2200646,C5207786
1367088,C2365117
204445,C0702984
692847,C1876044
692846,C1873789
204442,C0702912
1367080,C3531502
1367081,C3531503
692849,C1873790
692848,C1876045
1367086,C1268555
1367087,C0073689
796658,C2343682
261663,C0876179
1727299,C4050096
252006,C0794143
404084,C1329289
404081,C1329286
1360737,C3527695
329375,C1124585
18891,C0053116
236907,C0772233
236900,C0772226
18896,C0053122
1360731,C3527689
236903,C0772229
236908,C0772234
1046700,C2937569
1046707,C2949513
1046706,C2949512
1046709,C2949514
1363422,C3528816
1363423,C3528817
252430,C0794632
1363426,C0607428
1363427,C1533364
237057,C0772394
237058,C0772395
1363429,C3528818
27792,C0063828
1173894,C3227922
1173895,C3227923
371027,C1245063
310404,C0977004
310405,C0977005
689256,C1874340
323980,C1105612
379012,C1253390
379014,C1253392
323984,C1105819
379016,C1577945
323986,C1106001
